First_line,City,Postcode,Council_ward,Bedrooms,Bathrooms,Lounges,Price,Square_ft,Property_type,Council_tax_band,EPC_band,Parking,Longitude,Latitude
3 Cypress Walk,Aberdeen,AB23 8LD,Bridge of Don,4,2,2,950,123,House Semi Detached,CT Band F,EPC band C,Parking,-2.100813,57.2000216
51 Elmbank Terrace,Aberdeen,AB24 3NN,George St/Harbour,2,1,1,600,121,Flat,CT Band D,EPC band D,,-2.1111709,57.1590867
5c Irvine Place,Aberdeen,AB10 6HA,Airyhall/Broomhill/Garthdee,2,1,1,650,67,Flat,CT Band C,EPC band D,,-2.118113,57.136841
"20 Ladeside,  Grandholm Crescent",Aberdeen,AB22 8BF,Dyce/Bucksburn/Danestone,2,2,1,595,64,Flat,CT Band D,EPC band B,Parking,-2.1230945,57.1771554
64L Goodhope Park,Aberdeen,AB21 9NE,Dyce/Bucksburn/Danestone,2,1,1,625,48,Flat,CT Band D,EPC band B,Parking,-2.1602032,57.1774538
"Flat 41, Beeches Gate,  Craigieburn Park",Aberdeen,AB15 7SQ,Hazlehead/Queens Cross/Countesswells,1,1,1,550,61,Flat,CT Band D,EPC band B,Parking,-2.1528469,57.1352668
279 Union Grove,Aberdeen,AB10 6TB,Hazlehead/Queens Cross/Countesswells,2,1,1,475,50,Flat,CT Band B,EPC band D,,-2.1272941,57.1388439
77 Promenade Court,Aberdeen,AB24 1FR,Tillydrone/Seaton/Old Aberdeen,2,1,1,525,61,Flat,CT Band A,EPC band E,Parking,-2.0891018,57.1647031
552 Great Western Road,Aberdeen,AB10 6PU,Airyhall/Broomhill/Garthdee,3,1,1,500,75,Flat,CT Band D,EPC band C,,-2.1388191,57.1308936
39 Victoria Street,Aberdeen,AB10 1UX,Midstocket/Rosemount,1,1,1,600,52,Flat,CT Band C,EPC band C,,-2.1143234,57.1447466
19 Picardy Court,Aberdeen,AB10 1UG,Midstocket/Rosemount,1,1,1,475,40,Flat,CT Band C,EPC band C,Parking,-2.112437,57.1446582
20 Beechgrove Terrace,Aberdeen,AB15 5ED,Midstocket/Rosemount,4,1,2,1200,90,Flat,CT Band E,EPC band E,,-2.1252995,57.1490763
8f Belgrave Terrace,Aberdeen,AB25 2NS,Midstocket/Rosemount,2,1,1,1000,65,Flat,CT Band E,EPC band C,Parking,-2.1181997,57.1485366
39 Bankhead Avenue,Aberdeen,AB21 9ET,Dyce/Bucksburn/Danestone,3,1,1,600,74,Flat,CT Band B,EPC band D,,-2.1814817,57.1816216
"Mary Elmslie Court,  73 King Street",Aberdeen,AB24 5BS,George St/Harbour,2,1,1,650,63,Flat,CT Band D,EPC band C,Parking,-2.0924196,57.1558974
48A Victoria Road,Aberdeen,AB11 9DR,Torry/Ferryhill,1,1,1,375,35,Flat,CT Band A,EPC band D,,-2.0889157,57.1384353
164b Market Street,Aberdeen,AB11 5PP,Torry/Ferryhill,1,1,1,500,54,Flat,CT Band A,EPC band E,,-2.0930323,57.1429626
23A Forbes Street,Aberdeen,AB25 2UG,Midstocket/Rosemount,1,1,1,350,37,Flat,CT Band A,EPC band E,,-2.1118376,57.1515306
"Flat F,  54 Erroll Street",Aberdeen,AB24 5PP,George St/Harbour,3,1,1,950,73,Flat,CT Band D,EPC band C,Parking,-2.0921606,57.1569456
"43d McDonald Court,  Froghall Road",Aberdeen,AB24 3JL,George St/Harbour,1,1,1,495,49,Flat,CT Band B,EPC band D,Parking,-2.1011522,57.1576064
"Pinecrest,  Backhill Farm",Aberdeen,AB15 8SN,Lower Deeside,3,2,1,700,93,House Detached,CT Band E,EPC band D,Parking,-2.256725597,57.14765556
17 Hartington Road,Aberdeen,AB10 6XT,Hazlehead/Queens Cross/Countesswells,1,1,1,430,44,Flat,CT Band B,EPC band D,,-2.1226341,57.1409363
186e Victoria Road,Aberdeen,AB11 9NN,Torry/Ferryhill,2,1,1,415,47,Flat,CT Band A,EPC band C,,-2.0823056,57.1365689
2 Hammerman Drive,Aberdeen,AB24 4SH,Hilton/Woodside/Stockethill,3,2,1,895,94,Flat,CT Band E,EPC band B,Parking,-2.1260091,57.162956
5 Willowgate Close,Aberdeen,AB11 6QD,Torry/Ferryhill,2,1,1,595,60,Flat,CT Band D,EPC band C,Parking,-2.11014645,57.14050562
9 Granton Place,Aberdeen,AB10 6QX,Hazlehead/Queens Cross/Countesswells,1,1,1,395,41,Flat,CT Band A,EPC band E,,-2.1194274,57.1399588
23C Urquhart Road,Aberdeen,AB24 5LN,George St/Harbour,1,1,0,350,37,Flat,CT Band A,EPC band E,,-2.0935907,57.1546001
49H Sunnybank Road,Aberdeen,AB24 3NJ,George St/Harbour,2,1,1,550,53,Flat,CT Band C,EPC band B,Parking,-2.102479,57.159222
4A Great Western Road,Aberdeen,AB10 6PY,Hazlehead/Queens Cross/Countesswells,2,1,1,525,33,Flat,CT Band C,EPC band E,Parking,-2.115315,57.140257
37 Urquhart Road,Aberdeen,AB24 5LS,George St/Harbour,3,1,1,700,71,Flat,CT Band C,EPC band D,,-2.092053,57.154739
83 Spring Garden,Aberdeen,AB25 1DG,George St/Harbour,1,1,1,450,38,Flat,CT Band B,EPC band E,Parking,-2.1003962,57.1529029
51 Devonshire Road,Aberdeen,AB10 6XP,Hazlehead/Queens Cross/Countesswells,2,1,1,895,101,Flat,CT Band E,EPC band D,Parking,-2.1281278,57.1397553
37 Huxterstone Drive,Aberdeen,AB15 8UN,Kingswells/Sheddocksley/Summerhill,3,1,1,800,79,House Detached,CT Band E,EPC band D,Parking,-2.2225511,57.1518966
53 Craigiebuckler Terrace,Aberdeen,AB15 8SX,Hazlehead/Queens Cross/Countesswells,3,1,2,850,100,House Semi Detached,CT Band F,EPC band D,Parking,-2.1582219,57.1361323
"Flat D,  2 Cottage Brae",Aberdeen,AB10 6DG,Airyhall/Broomhill/Garthdee,1,1,1,375,28,Flat,CT Band A,EPC band E,Parking,-2.117125,57.13801
184 Victoria Road,Aberdeen,AB11 9NN,Torry/Ferryhill,2,1,1,450,46,Flat,CT Band A,EPC band C,,-2.0824737,57.136565
"Flat B,  126 Auchmill Road",Aberdeen,AB21 9LS,Dyce/Bucksburn/Danestone,1,1,0,325,28,Flat,CT Band A,EPC band E,,-2.1640093,57.1766085
"Riverside View,  22E Riverside Drive",Aberdeen,AB11 7DF,Torry/Ferryhill,2,2,1,800,63,Flat,CT Band E,EPC band C,Parking,-2.0971334,57.1332838
165 Hardgate,Aberdeen,AB11 6XQ,Torry/Ferryhill,1,1,1,400,35,Flat,CT Band A,EPC band E,,-2.1121307,57.1384385
"Flat A,  10 Bloomfield Road",Aberdeen,AB10 6AB,Torry/Ferryhill,1,1,1,425,46,Flat,CT Band A,EPC band D,Parking,-2.1143827,57.134814
7 Hilton Heights,Aberdeen,AB24 4QE,Hilton/Woodside/Stockethill,2,1,1,575,56,Flat,CT Band D,EPC band D,Parking,-2.1302103,57.1652111
546 Great Western Road,Aberdeen,AB10 6PU,Airyhall/Broomhill/Garthdee,2,1,1,450,49,Flat,CT Band B,EPC band E,,-2.140393,57.13044
7 Bannermill Place,Aberdeen,AB24 5EA,George St/Harbour,1,1,1,575,48,Flat,CT Band C,EPC band B,Parking,-2.085435,57.152228
11 Great Western Place,Aberdeen,AB10 6QN,Hazlehead/Queens Cross/Countesswells,1,1,1,495,52,Flat,CT Band C,EPC band C,,-2.11729397,57.14002404
"Flat A,  51 Ashvale Place",Aberdeen,AB10 6QJ,Hazlehead/Queens Cross/Countesswells,1,1,1,475,37,Flat,CT Band A,EPC band D,,-2.11699901,57.14050249
"Flat F, Melville Court,  75 Rose Street",Aberdeen,AB10 1UH,Midstocket/Rosemount,2,1,1,595,54,Flat,CT Band D,EPC band D,,-2.1129321,57.1463317
211 Links Road,Aberdeen,AB24 5EY,George St/Harbour,2,2,1,650,69,Flat,CT Band C,EPC band B,Parking,-2.0837796,57.1524786
4 Sclattie Park,Aberdeen,AB21 9QR,Dyce/Bucksburn/Danestone,2,1,1,550,105,Flat,CT Band C,EPC band D,Parking,-2.1871053,57.1800774
5 Gairn Terrace,Aberdeen,AB10 6BB,Torry/Ferryhill,1,1,1,500,52,Flat,CT Band C,EPC band C,Parking,-2.109687307,57.13334782
"Flat D,  19 Sunnybank Road",Aberdeen,AB24 3NJ,George St/Harbour,1,1,1,475,48,Flat,CT Band B,EPC band C,Parking,-2.1015996,57.159882
11 Sunnybank Road,Aberdeen,AB24 3NJ,George St/Harbour,2,1,1,500,60,Flat,CT Band C,EPC band C,Parking,-2.1013702,57.1604811
57 Wallacebrae Wynd,Aberdeen,AB22 8YD,Dyce/Bucksburn/Danestone,1,1,1,450,42,Flat,CT Band B,EPC band D,Parking,-2.1398416,57.1823888
80 Grandholm Crescent,Aberdeen,AB22 8BA,Dyce/Bucksburn/Danestone,1,1,1,480,48,Flat,CT Band C,EPC band C,Parking,-2.1224987,57.1772211
13 Fraser Road,Aberdeen,AB25 3UD,George St/Harbour,1,1,1,375,36,Flat,CT Band A,EPC band D,,-2.1083025,57.1542678
12a King's Gate,Aberdeen,AB15 4EJ,Midstocket/Rosemount,2,2,2,895,82,House Terraced,CT Band F,EPC band C,Parking,-2.132197181,57.147651
38b Charlotte Street,Aberdeen,AB25 1LT,George St/Harbour,1,1,1,450,54,Flat,CT Band B,EPC band D,,-2.1041059,57.1507691
6 Richmond Terrace,Aberdeen,AB25 2RN,Midstocket/Rosemount,2,1,1,500,57,Flat,CT Band D,EPC band F,,-2.1138907,57.1507948
"23, The Galleria,  Langstane Place",Aberdeen,AB11 6FB,Torry/Ferryhill,2,2,1,600,65,Flat,CT Band D,EPC band C,,-2.1049451,57.1437428
24 Union Wynd,Aberdeen,AB10 1SL,Midstocket/Rosemount,2,1,1,575,57,Flat,CT Band C,EPC band D,,-2.1088023,57.1450956
263 Clifton Road,Aberdeen,AB24 4HJ,Hilton/Woodside/Stockethill,2,1,1,650,78,Flat,CT Band D,EPC band D,,-2.1254047,57.1674603
8 Fraser Street,Aberdeen,AB25 3XS,George St/Harbour,1,1,1,400,43,Flat,CT Band A,EPC band E,,-2.1088619,57.1558164
"Basement Flat,  17 Summerfield Terrace",Aberdeen,AB24 5JB,George St/Harbour,1,1,1,400,44,Flat,CT Band A,EPC band E,,-2.093393,57.1517151
284 Rosemount Place,Aberdeen,AB25 2YA,Midstocket/Rosemount,1,1,1,425,45,Flat,CT Band B,EPC band D,,-2.112796,57.1505784
49 Tay Road,Aberdeen,AB16 5LA,Northfield/Mastrick North,2,1,1,450,63,Flat,CT Band B,EPC band D,Parking,-2.16517,57.1608944
3 Cadenhead Road,Aberdeen,AB25 3AJ,Midstocket/Rosemount,2,1,1,475,65,Flat,CT Band B,EPC band D,,-2.121345,57.1593722
84 Polwarth Road,Aberdeen,AB11 8DB,Torry/Ferryhill,2,1,1,545,63,Flat,CT Band B,EPC band D,Parking,-2.0903,57.131238
250 Union Grove,Aberdeen,AB10 6TS,Hazlehead/Queens Cross/Countesswells,1,1,1,450,65,Flat,CT Band B,EPC band C,Parking,-2.125364,57.1395376
398 King Street,Aberdeen,AB24 3BY,George St/Harbour,2,1,1,420,50,Flat,CT Band A,EPC band D,,-2.0955259,57.1582093
"Flat E,  135 Union Grove",Aberdeen,AB10 6SN,Hazlehead/Queens Cross/Countesswells,2,2,1,600,70,Flat,CT Band E,EPC band C,Parking,-2.1188669,57.1408667
53 Huntly Street,Aberdeen,AB10 1TH,Midstocket/Rosemount,3,2,2,1200,156,Flat,CT Band E,EPC band D,Parking,-2.1083356,57.1456899
13 Great Western Place,Aberdeen,AB10 6QN,Hazlehead/Queens Cross/Countesswells,1,1,1,490,39,Flat,CT Band C,EPC band C,,-2.117148,57.1399171
"Flat C,  653 George Street",Aberdeen,AB25 3XQ,George St/Harbour,2,1,1,550,43,Flat,CT Band A,EPC band C,Parking,-2.1098634,57.1572192
11 Northfield Place,Aberdeen,AB25 1SB,Midstocket/Rosemount,1,1,1,350,32,Flat,CT Band A,EPC band G,,-2.1133159,57.1480274
138F King Street,Aberdeen,AB24 5BD,George St/Harbour,2,1,1,550,52,Flat,CT Band A,EPC band D,,-2.0938387,57.1510059
77 Bloomfield Court,Aberdeen,AB10 6DS,Torry/Ferryhill,2,1,1,575,53,Flat,CT Band D,EPC band C,Parking,-2.1122463,57.1353645
48 Union Grove,Aberdeen,AB10 6RX,Hazlehead/Queens Cross/Countesswells,2,1,1,495,45,Flat,CT Band B,EPC band C,,-2.1148511,57.1416584
70 Spital,Aberdeen,AB24 3JU,George St/Harbour,2,1,1,625,77,Flat,CT Band B,EPC band D,Parking,-2.0996032,57.1592038
34 Erskine Street,Aberdeen,AB24 3NQ,George St/Harbour,1,1,1,450,39,Flat,CT Band B,EPC band E,Parking,-2.1100861,57.1599973
1 Orchard Road,Aberdeen,AB24 3DP,Tillydrone/Seaton/Old Aberdeen,2,1,1,675,63,House Terraced,CT Band D,EPC band D,Parking,-2.0976586,57.1617503
43 Wallfield Crescent,Aberdeen,AB25 2LB,Midstocket/Rosemount,2,1,1,950,43,Flat,CT Band B,EPC band D,,-2.1202241,57.147762
2 Springfield Road,Aberdeen,AB15 7RQ,Airyhall/Broomhill/Garthdee,5,2,2,1750,178,House Semi Detached,CT Band F,EPC band C,Parking,-2.143515,57.1274842
55 Esslemont Avenue,Aberdeen,AB25 1SS,Midstocket/Rosemount,1,1,1,425,35,Flat,CT Band A,EPC band E,,-2.1163669,57.1489017
"Flat D,  10 Tullos Place",Aberdeen,AB11 8HN,Torry/Ferryhill,2,1,1,500,60,Flat,CT Band B,EPC band C,,-2.082128,57.1334742
"Flat 2,  44-46 Upperkirkgate",Aberdeen,AB10 1BA,George St/Harbour,1,1,1,325,26,Flat,CT Band A,EPC band C,,-2.0986494,57.1485856
15 Roslin Street,Aberdeen,AB24 5NT,George St/Harbour,2,1,1,450,48,Flat,CT Band B,EPC band D,,-2.090201015,57.15427582
"Flat A,  342 King Street",Aberdeen,AB24 5BJ,George St/Harbour,2,1,1,595,66,Flat,CT Band B,EPC band D,,-2.094723,57.1551271
"Flat I,  1 Castlehill",Aberdeen,AB11 5GD,George St/Harbour,2,1,1,550,75,Flat,CT Band B,EPC band D,,-2.0914004,57.1481525
"Flat D,  160 Crown Street",Aberdeen,AB11 6HX,Torry/Ferryhill,2,1,1,475,56,Flat,CT Band C,EPC band D,,-2.1010206,57.1407203
179 Rosemount Place,Aberdeen,AB25 2XP,Midstocket/Rosemount,2,1,1,495,57,Flat,CT Band C,EPC band C,,-2.1179039,57.1494752
4 Holburn View,Aberdeen,AB11 6TA,Torry/Ferryhill,2,1,1,700,60,Flat,CT Band D,EPC band C,Parking,-2.111512507,57.1374379
74 Fonthill Avenue,Aberdeen,AB11 6TG,Torry/Ferryhill,2,1,1,650,58,Flat,CT Band D,EPC band C,Parking,-2.1113891,57.1379643
10B Justice Street,Aberdeen,AB11 5HR,George St/Harbour,1,1,1,425,41,Flat,CT Band B,EPC band D,,-2.0917408,57.1485467
"Flat F,  58 Esslemont Avenue",Aberdeen,AB25 1SR,Midstocket/Rosemount,1,1,1,425,35,Flat,CT Band A,EPC band C,,-2.1163956,57.1492539
"Flat E,  48 Menzies Road",Aberdeen,AB11 9BD,Torry/Ferryhill,2,1,1,495,66,Flat,CT Band B,EPC band C,,-2.0903341,57.1375157
14 Sir William Wallace Wynd,Aberdeen,AB24 1UW,Tillydrone/Seaton/Old Aberdeen,2,1,1,525,59,Flat,CT Band D,EPC band C,Parking,-2.0958141,57.1708785
296 Union Grove,Aberdeen,AB10 6TP,Hazlehead/Queens Cross/Countesswells,1,1,1,500,52,Flat,CT Band A,EPC band D,Parking,-2.129123,57.138761
9 Ashgrove Avenue,Aberdeen,AB25 3BQ,Midstocket/Rosemount,2,1,1,650,71,Flat,CT Band D,EPC band C,Parking,-2.119382281,57.15942369
"Flat A,  5 Cuparstone Court",Aberdeen,AB10 6FB,Hazlehead/Queens Cross/Countesswells,2,1,1,575,64,Flat,CT Band C,EPC band D,Parking,-2.114869,57.1403651
49 Wallacebrae Crescent,Aberdeen,AB22 8YE,Dyce/Bucksburn/Danestone,2,1,1,900,51,House Semi Detached,CT Band D,EPC band D,Parking,-2.1378082,57.1816352
24d Crown Street,Aberdeen,AB11 6AY,Torry/Ferryhill,2,1,1,625,61,Flat,CT Band D,EPC band C,Parking,-2.103429,57.14422
11 Rosebank Place,Aberdeen,AB11 6XN,Torry/Ferryhill,3,1,1,530,53,Flat,CT Band C,EPC band D,Parking,-2.110026,57.139723
31 Spital Walk,Aberdeen,AB24 3JH,Tillydrone/Seaton/Old Aberdeen,2,1,1,475,38,Flat,CT Band A,EPC band D,Parking,-2.1004844,57.161272
"26H,  Castle Street",Aberdeen,AB11 5BG,George St/Harbour,2,2,1,695,125,Flat,CT Band E,EPC band E,,-2.092055,57.148402
"Flat H,  51 Fonthill Road",Aberdeen,AB11 6UQ,Torry/Ferryhill,2,1,1,525,50,Flat,CT Band D,EPC band E,Parking,-2.1105358,57.1371109
346 King Street,Aberdeen,AB24 5BJ,George St/Harbour,2,2,1,695,59,Flat,CT Band C,EPC band B,,-2.0948354,57.1551873
31 Justice Street,Aberdeen,AB11 5HS,George St/Harbour,2,1,1,500,48,Flat,CT Band A,EPC band D,,-2.0914029,57.1489248
"Flat A,  12 Seaton Avenue",Aberdeen,AB24 1XB,Tillydrone/Seaton/Old Aberdeen,2,1,1,450,57,Flat,CT Band B,EPC band E,,-2.0934606,57.1678847
"Flat 28, Society Court,  Society Lane",Aberdeen,AB24 4DE,Hilton/Woodside/Stockethill,2,1,1,550,62,Flat,CT Band C,EPC band C,Parking,-2.1317757,57.1715084
33 Charleston Gardens,Aberdeen,AB12 3QF,Kincorth/Nigg/Cove,1,1,1,420,42,Flat,CT Band B,EPC band D,Parking,-2.0980649,57.0967014
11 Mosman Gardens,Aberdeen,AB24 4LZ,Hilton/Woodside/Stockethill,1,1,1,395,47,Flat,CT Band B,EPC band E,Parking,-2.1332026,57.1659216
101 Links Road,Aberdeen,AB24 5EH,George St/Harbour,3,2,1,995,90,Flat,CT Band E,EPC band C,Parking,-2.0812475,57.1507591
"Flat A,  2 Upperkirkgate",Aberdeen,AB10 1BA,George St/Harbour,1,1,1,525,45,Flat,CT Band B,EPC band F,,-2.097686615,57.14912345
653A George Street,Aberdeen,AB25 3XQ,George St/Harbour,2,1,1,550,48,Flat,CT Band B,EPC band D,,-2.1098327,57.1572297
"15 Martins Lane, Rennie's Wynd",Aberdeen,AB11 6NR,George St/Harbour,2,1,1,550,66,Flat,CT Band D,EPC band C,Parking,-2.0987069,57.1456879
"26 Rennies Court,  The Green",Aberdeen,AB11 6NZ,George St/Harbour,2,1,1,550,60,Flat,CT Band D,EPC band C,,-2.0991153,57.1454127
653H George Street,Aberdeen,AB25 3XQ,George St/Harbour,1,1,1,395,34,Flat,CT Band A,EPC band C,,-2.1098634,57.1572192
659G George Street,Aberdeen,AB25 3XQ,George St/Harbour,1,1,1,395,29,Flat,CT Band A,EPC band C,,-2.1099345,57.1573181
10H Justice Street,Aberdeen,AB11 5HR,George St/Harbour,1,1,1,425,36,Flat,CT Band B,EPC band C,,-2.0917408,57.1485467
"27 Martin's Lane,  The Green",Aberdeen,AB11 6NR,George St/Harbour,2,1,1,550,67,Flat,CT Band D,EPC band D,Parking,-2.09997458,57.1452085
659A George Street,Aberdeen,AB25 3XQ,George St/Harbour,1,1,1,425,43,Flat,CT Band A,EPC band D,,-2.1099345,57.1573181
"Flat B,  653 George Street",Aberdeen,AB25 3XQ,George St/Harbour,1,1,1,425,37,Flat,CT Band A,EPC band D,,-2.1096424,57.1572157
"26C,  Castle Street",Aberdeen,AB11 5BG,George St/Harbour,1,1,1,500,40,Flat,CT Band A,EPC band D,,-2.0920874,57.1484411
"The Galleria,  15 Langstane Place",Aberdeen,AB11 6FB,Torry/Ferryhill,2,2,1,600,49,Flat,CT Band D,EPC band C,Parking,-2.106015,57.143849
"24 Rennie's Court,  The Green",Aberdeen,AB11 6NZ,George St/Harbour,2,1,1,550,74,Flat,CT Band D,EPC band C,,-2.0991034,57.1455977
18a Golden Square,Aberdeen,AB10 1RH,Midstocket/Rosemount,3,2,1,1300,91,Flat,CT Band B,EPC band C,,-2.105671,57.1458106
"Flat 17, Mill House,  Grandholm Crescent",Aberdeen,AB22 8BB,Dyce/Bucksburn/Danestone,1,1,1,995,73,Flat,CT Band D,EPC band C,Parking,-2.1245412,57.1771772
22b Crown Street,Aberdeen,AB11 6AY,Torry/Ferryhill,2,2,1,1400,63,Flat,CT Band D,EPC band B,Parking,-2.1032946,57.1442671
6 Rennies Court,Aberdeen,AB11 6NZ,George St/Harbour,2,1,1,550,56,Flat,CT Band D,EPC band C,,-2.099134,57.144852
21 Castle Street,Aberdeen,AB11 5BQ,George St/Harbour,3,1,1,850,92,Flat,CT Band C,EPC band C,,-2.092863,57.148091
148 Grandholm Crescent,Aberdeen,AB22 8BA,Dyce/Bucksburn/Danestone,3,2,1,1000,79,Flat,CT Band D,EPC band E,Parking,-2.1235752,57.1762557
25 Craigieburn Park,Aberdeen,AB15 7SG,Hazlehead/Queens Cross/Countesswells,3,1,1,1350,82,Flat,CT Band F,EPC band C,Parking,-2.1542056,57.1351307
"137h Regency Court,  Union Grove",Aberdeen,AB10 6SN,Hazlehead/Queens Cross/Countesswells,3,2,1,1350,98,Flat,CT Band E,EPC band C,Parking,-2.1192819,57.1407473
