First_line,City,Postcode,Council_ward,Bedrooms,Bathrooms,Lounges,Price,Square_ft,Property_type,Council_tax_band,EPC_band,Parking,Longitude,Latitude
125 George Street,Aberdeen,AB25 1HU,George St/Harbour,1,1,1,450,49,Flat,CT Band B,EPC band C,,-2.101461,57.149791
"Flat 1,  44-46 Upperkirkgate",Aberdeen,AB10 1BA,George St/Harbour,1,1,1,425,37,Flat,CT Band B,EPC band C,,-2.09895934,57.14879926
7 Raeden Avenue,Aberdeen,AB15 5LP,Midstocket/Rosemount,4,3,2,1600,153,House Detached,CT Band G,EPC band D,Parking,-2.13658,57.15018755
72 Great Northern Road,Aberdeen,AB24 3PT,Hilton/Woodside/Stockethill,1,1,1,395,43,Flat,CT Band A,EPC band D,,-2.1154351,57.164082
"3 Whitehall Mews,  Whitehall Place",Aberdeen,AB25 2YY,Midstocket/Rosemount,2,1,1,550,54,Flat,CT Band D,EPC band C,Parking,-2.1176486,57.1467821
50 Queens Crescent,Aberdeen,AB15 4BE,Hazlehead/Queens Cross/Countesswells,2,2,1,795,67,Flat,CT Band E,EPC band C,Parking,-2.145378161,57.13889276
59 Mary Elmslie Court,Aberdeen,AB24 5BS,George St/Harbour,2,2,1,650,74,Flat,CT Band D,EPC band B,Parking,-2.0924196,57.1558974
33 Mearns Street,Aberdeen,AB11 5ER,George St/Harbour,2,1,1,600,73,Flat,CT Band C,EPC band B,Parking,-2.089389,57.146836
"First Floor,  9B Queens Gardens",Aberdeen,AB15 4YD,Hazlehead/Queens Cross/Countesswells,3,1,1,995,99,Flat,CT Band E,EPC band C,Parking,-2.1287387,57.1428754
74 Lord Hays Grove,Aberdeen,AB24 1WT,Tillydrone/Seaton/Old Aberdeen,2,1,1,575,61,Flat,CT Band D,EPC band C,Parking,-2.0945558,57.1727476
43B Sunnybank Road,Aberdeen,AB24 3NJ,George St/Harbour,2,1,1,525,54,Flat,CT Band C,EPC band D,Parking,-2.1019522,57.1599683
17 Beattie Place,Aberdeen,AB25 3AS,Midstocket/Rosemount,2,1,1,495,70,Flat,CT Band B,EPC band C,,-2.1237377,57.1588707
"First Floor,  31 Elmfield Avenue",Aberdeen,AB24 3NU,George St/Harbour,3,1,1,825,80,Flat,CT Band D,EPC band E,,-2.1088073,57.1596258
19F Craigton Road,Aberdeen,AB15 7US,Airyhall/Broomhill/Garthdee,2,1,1,550,61,Flat,CT Band D,EPC band C,Parking,-2.1392892,57.1312765
83f Jute Street,Aberdeen,AB24 3HA,George St/Harbour,2,1,1,495,49,Flat,CT Band B,EPC band E,,-2.1036529,57.1573886
"44d,  Walker Road",Aberdeen,AB11 8BL,Torry/Ferryhill,1,1,1,370,58,Flat,CT Band A,EPC band D,,-2.0894484,57.1365786
26 Albyn Grove,Aberdeen,AB10 6SQ,Hazlehead/Queens Cross/Countesswells,1,1,1,525,50,Flat,CT Band C,EPC band D,,-2.1196563,57.1410523
82 Osborne Place,Aberdeen,AB25 2DB,Hazlehead/Queens Cross/Countesswells,4,2,1,900,111,Flat,CT Band E,EPC band C,,-2.1223143,57.1455032
22 Links View,Aberdeen,AB24 5RG,Tillydrone/Seaton/Old Aberdeen,2,1,1,650,74,Flat,CT Band D,EPC band C,Parking,-2.09042417,57.16209473
"Flat 5,  89 Queens Road",Aberdeen,AB15 4YS,Hazlehead/Queens Cross/Countesswells,2,1,1,690,53,Flat,CT Band D,EPC band D,Parking,-2.139886154,57.14005132
301 Union Grove,Aberdeen,AB10 6TD,Hazlehead/Queens Cross/Countesswells,1,1,1,425,36,Flat,CT Band B,EPC band E,,-2.123461175,57.13996682
"Flat 6,  89 Queens Road",Aberdeen,AB15 4YS,Hazlehead/Queens Cross/Countesswells,1,1,1,625,55,Flat,CT Band D,EPC band D,Parking,-2.139768,57.140053
2E Richmond Walk,Aberdeen,AB25 2YT,Midstocket/Rosemount,2,1,2,600,79,Flat,CT Band B,EPC band C,Parking,-2.114021,57.149331
4C Hosefield Road,Aberdeen,AB15 5NB,Midstocket/Rosemount,1,1,1,550,52,Flat,CT Band B,EPC band C,,-2.127498351,57.15029666
180 Merkland Lane,Aberdeen,AB24 5RX,George St/Harbour,2,2,1,700,62,Flat,CT Band D,EPC band C,Parking,-2.0896931,57.1582853
